"cap.diameter","cap.shape","gill.attachment","gill.color","stem.height","stem.width","stem.color","season","class"
346,2,4,5,1.50448353044528,392,6,0.888450287786284,1
319,2,6,7,0.207333123789384,343,6,0.943194553897495,1
540,6,0,5,0.0999004213976378,459,11,0.943194553897495,0
491,1,3,2,0.469946396302541,1876,6,0.0273721330556057,0
485,6,5,3,0.442093473460236,651,11,0.943194553897495,0
322,5,1,7,0.915593161779413,507,3,0.943194553897495,0
989,6,4,6,1.04206941513685,2225,10,0.943194553897495,1
178,2,0,5,0.954531657632462,301,12,0.943194553897495,1
453,2,0,5,0.808160459387667,377,6,0.888450287786284,1
291,5,0,10,0.724601690860753,692,11,0.888450287786284,1
649,6,4,11,0.930657723767629,1260,6,0.943194553897495,0
524,6,4,8,0.2192700907218,1181,12,0.943194553897495,0
1078,5,1,10,0.425326123628676,2268,11,1.80427270862817,0
793,2,6,11,0.111837388330054,1495,12,0.943194553897495,1
1261,6,4,11,1.59912787198294,2323,6,0.888450287786284,0
266,2,2,5,0.704706745973393,295,11,0.888450287786284,1
124,4,0,3,0.23916503560916,167,12,0.888450287786284,1
756,6,2,10,0.170670829070463,1327,12,0.888450287786284,0
699,6,6,10,1.56729596016316,1006,11,0.943194553897495,1
111,2,0,4,0.31476582618113,189,11,0.0273721330556057,0
290,0,0,3,0.541568197897038,509,10,0.888450287786284,1
165,2,0,10,0.41026156164046,209,11,0.943194553897495,1
510,6,5,11,0.513715275054733,1067,12,0.943194553897495,1
608,5,1,10,0.712664723928337,677,11,0.888450287786284,0
243,0,0,4,1.01023750331707,180,6,0.943194553897495,1
296,3,3,2,2.01379411956171,0,2,1.80427270862817,1
239,1,0,5,0.863866305072276,317,10,0.888450287786284,1
1016,5,1,7,0.446072462437708,2419,11,0.943194553897495,0
560,6,6,10,0.600401638637447,1017,6,0.943194553897495,0
1150,6,5,11,0.636212539434696,1718,6,0.943194553897495,1
276,2,6,7,0.374450660843211,330,6,0.888450287786284,1
758,5,1,6,0.0632381266787172,1671,11,0.943194553897495,0
1160,6,2,10,1.87367811142851,1441,11,0.888450287786284,1
583,6,0,5,0.41026156164046,375,3,0.943194553897495,0
111,0,0,3,0.477904374257485,146,6,0.943194553897495,1
295,0,6,10,1.01108889723874,255,12,0.943194553897495,0
1038,6,4,7,1.71451855232963,3038,6,0.943194553897495,1
186,2,1,11,1.38113487214365,490,12,0.943194553897495,1
494,0,1,11,0.656958878243728,542,6,0.943194553897495,1
809,3,0,6,1.84269759353041,1607,6,1.80427270862817,1
215,4,0,3,1.46384224674889,221,12,0.0273721330556057,1
114,0,0,5,0.00753228099410818,258,6,0.0273721330556057,1
691,2,5,7,0.963341029509078,926,8,0.943194553897495,1
302,5,1,7,0.625126966423952,556,3,0.888450287786284,0
647,6,4,11,0.536737814997894,1589,12,0.943194553897495,0
368,2,5,7,0.752454613703058,278,6,0.943194553897495,1
749,6,0,10,0.50888489215559,1302,11,0.888450287786284,0
550,0,0,5,0.0441945757130288,617,6,0.888450287786284,1
278,5,3,2,0.0314062148589406,659,12,0.943194553897495,0
709,6,0,5,1.26887178685276,1326,6,0.943194553897495,1
688,5,1,7,0.847098955240716,1492,8,0.943194553897495,1
352,0,6,10,0.637063933356368,271,12,0.943194553897495,0
294,2,0,10,0.927530128711829,695,11,0.888450287786284,1
626,6,6,11,0.110985994408382,1313,11,0.888450287786284,0
523,0,2,11,0.134859928273215,669,7,0.888450287786284,1
603,2,5,5,1.38028347822197,1189,7,0.943194553897495,0
621,6,0,5,0.00355329201663611,482,11,0.943194553897495,0
257,6,0,6,0.764391580635474,589,1,0.888450287786284,0
964,6,0,10,1.44394730186153,2810,11,0.943194553897495,1
663,5,6,11,0.422198528572876,1408,12,0.943194553897495,1
297,2,6,7,0.441242079538564,304,8,0.943194553897495,1
1493,6,5,7,1.01421649229454,1805,6,0.888450287786284,1
642,6,6,10,3.0435008708053,632,6,0.943194553897495,1
810,2,6,10,1.50363213652361,1060,11,0.888450287786284,1
1488,6,2,10,1.59514888300547,1592,11,0.943194553897495,0
1137,6,6,10,0.652128495344584,2591,11,0.943194553897495,0
1036,2,6,5,0.815267043420939,2631,8,0.943194553897495,0
31,6,0,7,0.748475624725586,55,4,0.888450287786284,1
448,2,6,5,0.115816377307526,345,11,0.943194553897495,0
494,1,6,11,1.02615345922696,1423,11,0.888450287786284,1
413,2,6,5,0.198523751912768,490,6,0.888450287786284,1
569,2,0,10,0.589316065626703,1455,3,0.888450287786284,0
785,6,6,5,0.75956119773633,1887,3,0.943194553897495,1
117,6,1,5,1.53631544226506,203,6,0.943194553897495,1
401,0,0,3,0.645021911311312,248,3,0.0273721330556057,0
611,2,1,10,0.127753344239942,946,6,1.80427270862817,1
889,6,4,11,0.0194692479265244,1645,6,0.888450287786284,0
310,6,4,11,0.354555715955851,1023,12,0.943194553897495,0
35,6,0,5,1.04689979803599,44,4,0.888450287786284,1
104,6,0,4,0.505757297099789,191,6,0.943194553897495,1
1317,6,1,5,0.198523751912768,2881,11,1.80427270862817,1
1458,6,2,10,2.24372408633341,1851,11,0.888450287786284,0
1137,5,1,10,0.342618749023434,2492,11,0.888450287786284,0
295,0,5,5,0.0521525536679729,657,6,0.943194553897495,1
363,6,0,6,1.0747527208783,754,11,0.888450287786284,0
